laser_image,pixel_x,pixel_y,Xc_mm,Yc_mm,Zc_mm
Laser2.png,3090.0,1527.2525634765625,2.104140242775866,-1.734110520562547,97.84585194623268
Laser2.png,3091.0,1526.94091796875,2.1085378779305346,-1.7354886654771526,97.84578773069984
Laser2.png,3092.0,1526.97509765625,2.112954090955759,-1.7353513377803444,97.84658408575685
Laser2.png,3093.0,1526.87255859375,2.1173630123596747,-1.7358132399318407,97.84704017322345
Laser2.png,3094.0,1526.2864990234375,2.121745888142572,-1.738393630840184,97.8462932513291
Laser2.png,3095.0,1526.2774658203125,2.1261598936987287,-1.7384457817244958,97.84698202855446
Laser2.png,3096.0,1526.13720703125,2.1305668509164186,-1.7390729776637208,97.84734426301927
Laser2.png,3097.0,1526.03076171875,2.1349756785151692,-1.7395518615570256,97.8477907259091
Laser2.png,3098.0,1525.632080078125,2.1393686467990842,-1.741311283285049,97.84751000111517
Laser2.png,3099.0,1525.4444580078125,2.143773095033987,-1.742145989462847,97.84775440526462
Laser2.png,3100.0,1525.6226806640625,2.1481975526098296,-1.7413775565474758,97.84890922002255
Laser2.png,3101.0,1525.572509765625,2.1526096104231467,-1.7416099846582822,97.84949566837255
Laser2.png,3102.0,1525.7010498046875,2.15703170748002,-1.7410593206659106,97.85052687198116
Laser2.png,3103.0,1525.76025390625,2.1614499030630867,-1.7408125050166665,97.85138550466236
Laser2.png,3104.0,1526.0303955078125,2.165879796044561,-1.739641279629497,97.85276912862464
Laser2.png,3105.0,1525.7613525390625,2.170280053907638,-1.7408327610734002,97.85281096553273
Laser2.png,3106.0,1526.2083740234375,2.174720100973851,-1.7388865013290697,97.85463480387429
Laser2.png,3107.0,1527.6453857421875,2.1792151831263147,-1.732601613488706,97.85892266012618
Laser2.png,3108.0,1528.3123779296875,2.183667893512594,-1.729690836611172,97.8612943421586
Laser2.png,3109.0,1528.5841064453125,2.1880986363692987,-1.7285124773644736,97.86268214119598
Laser2.png,3110.0,1529.02490234375,2.192539116739243,-1.72659304387687,97.86449087010594
Laser2.png,3111.0,1529.2508544921875,2.1969677566155474,-1.725615118269848,97.86576490927042
Laser2.png,3112.0,1529.5904541015625,2.201402692644284,-1.7241390260883576,97.86732186622957
Laser2.png,3113.0,1529.594970703125,2.205819150767552,-1.7241317079401344,97.86804469378814
Laser2.png,3114.0,1529.659423828125,2.210238861837503,-1.7238615968888142,97.8689167550517
Laser2.png,3115.0,1529.662841796875,2.2146553945660137,-1.7238591498241662,97.86963683839264
Laser2.png,3116.0,1529.5518798828125,2.2190653547316095,-1.7243579274097247,97.87007222851189
Laser2.png,3117.0,1528.9964599609375,2.22345040129571,-1.726804731256651,97.86940125162634
Laser2.png,3118.0,1527.8865966796875,2.227803785316408,-1.7316816769016106,97.86734999892172
Laser2.png,3119.0,1527.131591796875,2.23217713266967,-1.735003298357166,97.86618209273108
Laser2.png,3120.0,1526.2342529296875,2.2365422800332624,-1.7389485326805083,97.86465997372287
Laser2.png,3121.0,1525.63134765625,2.2409240728418616,-1.7416033535940756,97.86387075853129
